a.1.1.1;Truncated hemoglobin
a.1.1.4;Nerve tissue mini-hemoglobin (neural globin)
a.1.1.2;Globins
a.1.1.3;Phycocyanin-like phycobilisome proteins
a.1.2.1;Fumarate reductase/Succinate dehydogenase iron-sulfur protein, C-terminal domain
a.1.2.2;Dihydropyrimidine dehydrogenase, N-terminal domain
a.2.1.1;GreA transcript cleavage protein, N-terminal domain
a.2.2.1;Ribosomal protein L29 (L29p)
a.2.3.1;Chaperone J-domain
a.2.5.1;Prefoldin
a.2.6.1;HR1 repeat
a.2.7.1;Seryl-tRNA synthetase (SerRS)
a.2.7.2;Phenylalanyl-tRNA synthetase (PheRS)
a.2.7.3;Valyl-tRNA synthetase (ValRS) C-terminal domain
a.2.7.4;Methicillin resistance protein FemA probable tRNA-binding arm
a.2.8.1;Eukaryotic DNA topoisomerase I, dispensable insert domain
a.2.9.1;C-terminal UvrC-binding domain of UvrB
a.2.10.1;Epsilon subunit of F1F0-ATP synthase C-terminal domain
a.2.11.1;Fe,Mn superoxide dismutase (SOD), N-terminal domain
a.2.12.1;Sporulation inhibitor Sda
a.2.13.1;Transcriptional repressor TraM
a.2.14.1;DnaK suppressor protein DksA, alpha-hairpin domain
a.2.15.1;ISY1 N-terminal domain-like
a.2.16.1;Siah interacting protein N terminal domain-like
a.2.17.1;VPS23 C-terminal domain
a.2.17.2;VPS28 N-terminal domain
a.2.17.3;VPS37 C-terminal domain-like
a.2.18.1;SPy1572-like
a.2.19.1;Rabenosyn-5 Rab-binding domain-like
a.2.20.1;MxiH-like
a.2.21.1;YznC-like
a.139.1.1;Type I dockerin domain
a.140.1.1;LEM domain
a.140.2.1;SAP domain
a.140.3.1;Rho termination factor, N-terminal domain
a.140.3.2;YqbF C-terminal domain-like
a.140.4.1;Recombination endonuclease VII, C-terminal and dimerization domains
a.140.5.1;DNA-binding domain of EIN3-like
a.140.6.1;PRP4-like
a.271.1.1;SOCS box-like
a.143.1.1;RNA polymerase omega subunit
a.143.1.2;RPB6
a.212.1.1;KRAB domain (Kruppel-associated box)
a.3.1.1;monodomain cytochrome c
a.3.1.2;N-terminal (heme c) domain of cytochrome cd1-nitrite reductase
a.3.1.6;Quinoprotein alcohol dehydrogenase, C-terminal domain
a.3.1.3;Cytochrome bc1 domain
a.3.1.4;Two-domain cytochrome c
a.3.1.8;Di-heme cytochrome c SoxA
a.3.1.5;Di-heme cytochrome c peroxidase
a.3.1.7;Quinohemoprotein amine dehydrogenase A chain, domains 1 and 2
