a.1.1;Globin-like
a.1.2;alpha-helical ferredoxin
a.2.1;GreA transcript cleavage protein, N-terminal domain
a.2.2;Ribosomal protein L29 (L29p)
a.2.3;Chaperone J-domain
a.2.5;Prefoldin
a.2.6;HR1 repeat
a.2.7;tRNA-binding arm
a.2.8;Eukaryotic DNA topoisomerase I, dispensable insert domain
a.2.9;C-terminal UvrC-binding domain of UvrB
a.2.10;Epsilon subunit of F1F0-ATP synthase C-terminal domain
a.2.11;Fe,Mn superoxide dismutase (SOD), N-terminal domain
a.2.12;Sporulation inhibitor Sda
a.2.13;Transcriptional repressor TraM
a.2.14;DnaK suppressor protein DksA, alpha-hairpin domain
a.2.15;ISY1 domain-like
a.2.16;Calcyclin-binding protein-like
a.2.17;Endosomal sorting complex assembly domain
a.2.18;SPy1572-like
a.2.19;Rabenosyn-5 Rab-binding domain-like
a.2.20;MxiH-like
a.2.21;YnzC-like
a.139.1;Type I dockerin domain
a.140.1;LEM domain
a.140.2;SAP domain
a.140.3;Rho N-terminal domain-like
a.140.4;Recombination endonuclease VII, C-terminal and dimerization domains
a.140.5;DNA-binding domain of EIN3-like
a.140.6;PRP4-like
a.271.1;SOCS box-like
a.143.1;RPB6/omega subunit-like
a.212.1;KRAB domain (Kruppel-associated box)
a.3.1;Cytochrome c
a.4.1;Homeodomain-like
a.4.2;Methylated DNA-protein cysteine methyltransferase, C-terminal domain
a.4.3;ARID-like
a.4.5;"Winged helix" DNA-binding domain
a.4.6;C-terminal effector domain of the bipartite response regulators
a.4.12;TrpR-like
a.4.7;Ribosomal protein L11, C-terminal domain
a.4.8;Ribosomal protein S18
a.4.9;Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 3
a.4.10;N-terminal Zn binding domain of HIV integrase
a.4.11;RNA polymerase subunit RPB10
a.4.13;Sigma3 and sigma4 domains of RNA polymerase sigma factors
a.4.14;KorB DNA-binding domain-like
a.4.15;Rps17e-like
a.159.2;FF domain
a.159.1;Protein serine/threonine phosphatase 2C, C-terminal domain
a.159.3;B-form DNA mimic Ocr
a.159.4;DEK C-terminal domain
a.159.5;IscX-like
a.5.1;DNA helicase RuvA subunit, C-terminal domain
a.5.2;UBA-like
a.5.7;post-HMGL domain-like
a.5.3;CRAL/TRIO N-terminal domain
a.5.4;Elongation factor TFIIS domain 2
a.5.6;Double-stranded DNA-binding domain
a.5.8;Hypothetical protein AF0491, middle domain
a.5.9;HBS1-like domain
a.5.10;FGAM synthase PurL, linker domain
a.156.1;S13-like H2TH domain
a.6.1;Putative DNA-binding domain
a.7.1;Spectrin repeat
a.7.2;Enzyme IIa from lactose specific PTS, IIa-lac
a.7.3;Succinate dehydrogenase/fumarate reductase flavoprotein C-terminal domain
a.7.4;Smac/diablo
a.7.7;BAG domain
a.7.8;GAT-like domain
a.7.5;Tubulin chaperone cofactor A
a.7.6;Ribosomal protein S20
a.7.10;Glycogen synthesis protein GlgS
a.7.11;Alpha-hemoglobin stabilizing protein AHSP
a.7.12;PhoU-like
a.7.13;XseB-like
a.7.14;MIT domain
a.7.15;PPK N-terminal domain-like
a.7.16;MIT domain-like
a.7.17;Efb C-domain-like
a.8.1;Bacterial immunoglobulin/albumin-binding domains
a.8.2;Plasmid maintenance system epsilon/zeta, antidote epsilon subunit
a.8.3;Families 57/38 glycoside transferase middle domain
a.8.5;Phosphoprotein XD domain
a.8.6;Staphylocoagulase
a.8.4;Heat shock protein 70kD (HSP70), C-terminal subdomain
a.8.7;Typo IV secretion system protein TraC
a.8.8;Avirulence protein AvrPto
a.8.9;Coronavirus NSP7-like
a.8.10;Vng1086c-like
a.8.11;AF1782-like
a.9.1;Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex
a.239.1;ChaB-like
a.10.1;Protozoan pheromone proteins
a.10.2;Hypothetical membrane protein Ta0354, soluble domain
a.11.1;Acyl-CoA binding protein
a.11.2;Second domain of FERM
a.272.1;YqgQ-like
a.12.1;Kix domain of CBP (creb binding protein)
a.13.1;RAP domain-like
a.14.1;VHP, Villin headpiece domain
a.240.1;BSD domain-like
a.15.1;TAF(II)230 TBP-binding fragment
a.16.1;S15/NS1 RNA-binding domain
a.141.1;Frizzled cysteine-rich domain
a.18.1;T4 endonuclease V
a.19.1;Fertilization protein
a.20.1;PGBD-like
a.21.1;HMG-box
a.22.1;Histone-fold
a.23.1;HSC20 (HSCB), C-terminal oligomerisation domain
a.23.2;Diol dehydratase, gamma subunit
a.23.3;Methane monooxygenase hydrolase, gamma subunit
a.23.4;Mitochondrial import receptor subunit Tom20
a.23.5;Hemolysin expression modulating protein HHA
a.23.6;EF2458-like
a.23.7;YvfG-like
a.161.1;beta-catenin-interacting protein ICAT
a.237.1;DNA polymerase III theta subunit-like
a.24.1;Apolipoprotein
a.24.2;Aspartate receptor, ligand-binding domain
a.24.3;Cytochromes
a.24.4;Hemerythrin-like
a.24.5;TMV-like viral coat proteins
a.24.7;FKBP12-rapamycin-binding domain of FKBP-rapamycin-associated protein (FRAP)
a.24.8;Proteasome activator
a.24.9;alpha-catenin/vinculin-like
a.24.14;FAT domain of focal adhesion kinase
a.24.18;Oxygen-evolving enhancer protein 3,
a.24.10;Histidine-containing phosphotransfer domain, HPT domain
a.24.11;Bacterial GAP domain
a.24.12;Outer surface protein C (OspC)
a.24.19;Flagellar export chaperone FliS
a.24.13;Domain of the SRP/SRP receptor G-proteins
a.24.15;FAD-dependent thiol oxidase
a.24.17;Group V grass pollen allergen
a.24.16;Nucleotidyltransferase substrate binding subunit/domain
a.24.21;RecG, N-terminal domain
a.24.20;Colicin D immunity protein
a.24.22;Nickel-containing superoxide dismutase, NiSOD
a.24.23;Mannose-6-phosphate receptor binding protein 1 (Tip47), C-terminal domain
a.24.24;Domain from hypothetical 2610208m17rik protein
a.24.25;TrmE connector domain
a.24.26;YppE-like
a.24.27;MW0975(SA0943)-like
a.24.28;VPS28 C-terminal domain-like
a.24.29;TM1646-like
a.142.1;PTS-regulatory domain, PRD
a.25.1;Ferritin-like
a.25.2;Cobalamin adenosyltransferase-like
a.25.3;EsxAB dimer-like
a.25.4;PE/PPE dimer-like
a.25.5;HP0062-like
a.25.6;SO2669-like
a.26.1;4-helical cytokines
a.27.1;Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases
a.28.1;ACP-like
a.28.2;Colicin E immunity proteins
a.28.3;Retrovirus capsid dimerization domain-like
a.29.2;Bromodomain
a.29.5;alpha-ketoacid dehydrogenase kinase, N-terminal domain
a.29.3;Acyl-CoA dehydrogenase C-terminal domain-like
a.29.6;Plant invertase/pectin methylesterase inhibitor
a.29.7;Mob1/phocein
a.29.8;Bacteriocin immunity protein-like
a.29.9;LemA-like
a.29.10;MAST3 pre-PK domain-like
a.29.11;PA2201 N-terminal domain-like
a.29.12;Nqo1C-terminal domain-like
a.29.13;Bacillus cereus metalloprotein-like
a.29.14;Ta0600-like
a.29.15;DsbB-like
a.29.16;IVS-encoded protein-like
a.29.17;YqcC-like
a.30.1;ROP protein
a.30.2;Homodimeric domain of signal transducing histidine kinase
a.30.3;Nonstructural protein ns2, Nep, M1-binding domain
a.30.4;Dimerisation domain of CENP-B
a.30.5;Hypothetical protein D-63
a.30.6;HP1531-like
a.30.7;BAS1536-like
a.30.8;FHV B2 protein-like
a.31.1;Dimerization-anchoring domain of cAMP-dependent PK regulatory subunit
a.273.1;Orange domain-like
a.178.1;Soluble domain of poliovirus core protein 3a
a.32.1;Transcription factor IIA (TFIIA), alpha-helical domain
a.33.1;Ectatomin subunits
a.34.1;SinR repressor dimerisation domain-like
a.34.2;Dimerization cofactor of HNF-1 alpha
a.34.3;Docking domain A of the erythromycin polyketide synthase (DEBS)
a.34.4;Phenylalanine zipper
a.35.1;lambda repressor-like DNA-binding domains
a.36.1;Signal peptide-binding domain
a.37.1;A DNA-binding domain in eukaryotic transcription factors
a.38.1;HLH, helix-loop-helix DNA-binding domain
a.38.2;Docking domain B of the erythromycin polyketide synthase (DEBS)
a.274.1;HAMP domain-like
a.39.1;EF-hand
a.39.2;Insect pheromone/odorant-binding proteins
a.39.4;Hypothetical protein MTH865
a.39.3;Cloroperoxidase
a.40.1;Calponin-homology domain, CH-domain
a.40.2;X-Prolyl dipeptidyl aminopeptidase PepX, N-terminal domain
a.40.3;Hook domain
a.41.1;Domain of poly(ADP-ribose) polymerase
a.42.1;SWIB/MDM2 domain
a.162.1;Pre-protein crosslinking domain of SecA
a.43.1;Ribbon-helix-helix
a.45.1;GST C-terminal domain-like
a.46.1;Methionine synthase domain
a.46.2;Nucleoside phosphorylase/phosphoribosyltransferase N-terminal domain
a.46.3;TM0693-like
a.186.1;KaiA/RbsU domain
a.47.1;STAT
a.47.2;t-snare proteins
a.47.3;Cag-Z
a.47.4;CAPPD, an extracellular domain of amyloid beta A4 protein
a.47.5;FlgN-like
a.47.6;MukF C-terminal domain-like
a.48.1;N-terminal domain of cbl (N-cbl)
a.48.2;Transferrin receptor-like dimerisation domain
a.48.3;Conserved domain common to transcription factors TFIIS, elongin A, CRSP70
a.48.4;HIV integrase-binding domain
a.48.5;PG0775 C-terminal domain-like
a.179.1;Replisome organizer (g39p helicase loader/inhibitor protein)
a.229.1;Hypothetical protein YqbG
a.275.1;DnaD domain-like
a.49.1;C-terminal domain of B transposition protein
a.187.1;HAND domain of the nucleosome remodeling ATPase ISWI
a.180.1;N-terminal, cytoplasmic domain of anti-sigmaE factor RseA
a.50.1;Anaphylotoxins (complement system)
a.51.1;Cytochrome c oxidase subunit h
a.163.1;Crustacean CHH/MIH/GIH neurohormone
a.164.1;C-terminal domain of DFF45/ICAD (DFF-C domain)
a.276.1;BH2638-like
a.52.1;Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin
a.53.1;p53 tetramerization domain
a.147.1;Bcr-Abl oncoprotein oligomerization domain
a.54.1;Domain of early E2A DNA-binding protein, ADDBP
a.55.1;IHF-like DNA-binding proteins
a.241.1;TraM-like
a.56.1;CO dehydrogenase ISP C-domain like
a.57.1;Protein HNS-dependent expression A; HdeA
a.144.1;PABC (PABP) domain
a.144.2;Ribosomal protein L20
a.58.1;Chemotaxis receptor methyltransferase CheR, N-terminal domain
a.242.1;Dcp2 domain-like
a.243.1;Type III secretion system domain
a.230.1;YugE-like
a.188.1;PWI domain
a.59.1;PAH2 domain
